value,variable,units,years_post,treatment,study,forest_type,region,burn_season,thin_type,other,other2
0.626,ten_hour,Mg/ha,20,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
45.754,qmd,cm,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
26.837,qmd,cm,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
35.635,qmd,cm,10,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
36.52,qmd,cm,15,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
27.59,qmd,cm,20,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
20.211,basal_area,m2/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
15.531,basal_area,m2/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
17.89,basal_area,m2/ha,10,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
18.229,basal_area,m2/ha,15,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
15.946,basal_area,m2/ha,20,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
119.383,density,trees/ha,1,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
109.326,density,trees/ha,5,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
120.034,density,trees/ha,10,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
125.571,density,trees/ha,15,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
113.831,density,trees/ha,20,thinburn,radcliffe2,Both,washington,NA,commercial,NA,NA
14.43,litterduff,Mg/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
5.57,litterduff,Mg/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
7.7,litterduff,Mg/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
11.8,litterduff,Mg/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.42,one_hour,Mg/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.09,one_hour,Mg/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.15,one_hour,Mg/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.14,one_hour,Mg/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
1.56,ten_hour,Mg/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.43,ten_hour,Mg/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.37,ten_hour,Mg/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.37,ten_hour,Mg/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
1.64,hundred_hour,Mg/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
1,hundred_hour,Mg/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.9,hundred_hour,Mg/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
0.78,hundred_hour,Mg/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
4.39,cwd,Mg/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
4.2,cwd,Mg/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.87,cwd,Mg/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
4.79,cwd,Mg/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
12.66,litterduff,Mg/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.15,litterduff,Mg/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.89,litterduff,Mg/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
7.87,litterduff,Mg/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.07,one_hour,Mg/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.03,one_hour,Mg/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.05,one_hour,Mg/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.07,one_hour,Mg/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.37,ten_hour,Mg/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.22,ten_hour,Mg/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.24,ten_hour,Mg/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.42,ten_hour,Mg/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.84,hundred_hour,Mg/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.68,hundred_hour,Mg/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.78,hundred_hour,Mg/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
0.68,hundred_hour,Mg/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
8.36,cwd,Mg/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
5.02,cwd,Mg/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
5.61,cwd,Mg/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
5.9,cwd,Mg/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
15.75,litterduff,Mg/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
15.75,litterduff,Mg/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
13.78,litterduff,Mg/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
17.52,litterduff,Mg/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.06,one_hour,Mg/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.07,one_hour,Mg/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.1,one_hour,Mg/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.07,one_hour,Mg/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.32,ten_hour,Mg/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.62,ten_hour,Mg/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.6,ten_hour,Mg/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.4,ten_hour,Mg/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.68,hundred_hour,Mg/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
1.43,hundred_hour,Mg/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
1.62,hundred_hour,Mg/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.88,hundred_hour,Mg/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
6.99,cwd,Mg/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
6.24,cwd,Mg/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
6.24,cwd,Mg/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
5.57,cwd,Mg/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
20.31,litterduff,Mg/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
15.83,litterduff,Mg/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
14.65,litterduff,Mg/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
12.52,litterduff,Mg/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.05,one_hour,Mg/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.16,one_hour,Mg/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.05,one_hour,Mg/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.02,one_hour,Mg/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.37,ten_hour,Mg/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.63,ten_hour,Mg/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.25,ten_hour,Mg/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.49,ten_hour,Mg/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
0.54,hundred_hour,Mg/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
2.58,hundred_hour,Mg/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.98,hundred_hour,Mg/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
2.11,hundred_hour,Mg/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
8.27,cwd,Mg/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
7.44,cwd,Mg/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
6.38,cwd,Mg/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
10.63,cwd,Mg/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
7.11,canopy_bulk_density,100kg/m3,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.58,canopy_bulk_density,100kg/m3,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.28,canopy_bulk_density,100kg/m3,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.58,canopy_bulk_density,100kg/m3,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.03,canopy_base_height,meters,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.05,canopy_base_height,meters,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
5.29,canopy_base_height,meters,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.78,canopy_base_height,meters,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
46.39,density_overstory,trees/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
29.58,density_pole,trees/ha,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
43.03,density_overstory,trees/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
18.15,density_pole,trees/ha,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
38.99,density_overstory,trees/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
16.13,density_pole,trees/ha,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
33.61,density_overstory,trees/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
38.99,density_pole,trees/ha,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
7.34,canopy_bulk_density,100kg/m3,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.66,canopy_bulk_density,100kg/m3,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.35,canopy_bulk_density,100kg/m3,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
5.45,canopy_bulk_density,100kg/m3,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
3.45,canopy_base_height,meters,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
4.2,canopy_base_height,meters,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.89,canopy_base_height,meters,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.81,canopy_base_height,meters,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
43.5,density_overstory,trees/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
11,density_pole,trees/ha,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
43.5,density_overstory,trees/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
8,density_pole,trees/ha,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
40,density_overstory,trees/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
3.5,density_pole,trees/ha,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
34.5,density_overstory,trees/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
2.5,density_pole,trees/ha,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.25,canopy_bulk_density,100kg/m3,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
4.35,canopy_bulk_density,100kg/m3,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
4.07,canopy_bulk_density,100kg/m3,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
4.35,canopy_bulk_density,100kg/m3,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
4.78,canopy_base_height,meters,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
11.15,canopy_base_height,meters,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
11.28,canopy_base_height,meters,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
8.63,canopy_base_height,meters,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
50.29,density_overstory,trees/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
15.43,density_pole,trees/ha,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
26.29,density_overstory,trees/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
6.29,density_pole,trees/ha,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
26.29,density_overstory,trees/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
6.29,density_pole,trees/ha,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
26.29,density_overstory,trees/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
5.14,density_pole,trees/ha,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
8.87,canopy_bulk_density,100kg/m3,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
4.8,canopy_bulk_density,100kg/m3,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
3.97,canopy_bulk_density,100kg/m3,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
4.38,canopy_bulk_density,100kg/m3,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.37,canopy_base_height,meters,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.96,canopy_base_height,meters,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
2.53,canopy_base_height,meters,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
1.37,canopy_base_height,meters,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
38.07,density_overstory,trees/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
83.51,density_pole,trees/ha,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
23.33,density_overstory,trees/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
9.82,density_pole,trees/ha,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
23.33,density_overstory,trees/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
9.82,density_pole,trees/ha,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
23.33,density_overstory,trees/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
22.11,density_pole,trees/ha,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
8.79,herb,percent,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
9.07,herb,percent,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.32,herb,percent,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
16.21,herb,percent,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.96,shrub,percent,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
3.96,shrub,percent,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
6.15,shrub,percent,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
22.42,shrub,percent,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
63.3,canopy_cover,percent,0,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
55.38,canopy_cover,percent,1,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
52.75,canopy_cover,percent,2,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
55.38,canopy_cover,percent,8,burn,vaillant,Mixed Conifer,sierra_nevada,NA,NA,NA,NA
84.78,herb,percent,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
45.65,herb,percent,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
21.74,herb,percent,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
44.57,herb,percent,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
13.7,shrub,percent,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
3.91,shrub,percent,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
6.2,shrub,percent,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
21.52,shrub,percent,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
43.45,canopy_cover,percent,0,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
39.88,canopy_cover,percent,1,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
43.45,canopy_cover,percent,2,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
42.26,canopy_cover,percent,8,burn,vaillant,Ponderosa Pine,sierra_nevada,NA,NA,NA,NA
2.67,herb,percent,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
1.11,herb,percent,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
0.89,herb,percent,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
12.67,herb,percent,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
7.78,shrub,percent,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
5.56,shrub,percent,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
10,shrub,percent,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
29.44,shrub,percent,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
69.45,canopy_cover,percent,0,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
48.35,canopy_cover,percent,1,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
53.63,canopy_cover,percent,2,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
58.02,canopy_cover,percent,8,thin,vaillant,Mixed Conifer,sierra_nevada,NA,several,NA,NA
31.52,herb,percent,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
7.61,herb,percent,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
14.13,herb,percent,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
21.74,herb,percent,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
16.96,shrub,percent,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
16.96,shrub,percent,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
23.91,shrub,percent,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
27.83,shrub,percent,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
59.13,canopy_cover,percent,0,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
21.74,canopy_cover,percent,1,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
28.7,canopy_cover,percent,2,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
37.39,canopy_cover,percent,8,thin,vaillant,Ponderosa Pine,sierra_nevada,NA,several,NA,NA
25.07,basal_area,m2/ha,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
15.4,cwd,Mg/ha,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
503.33,density,trees/ha,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
11.13,fwd,Mg/ha,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
62.5,litterduff,Mg/ha,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
25.47,qmd,cm,-1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
7.9,cwd,Mg/ha,0,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
3.4,fwd,Mg/ha,0,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
16.03,litterduff,Mg/ha,0,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
7.8,basal_area,m2/ha,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
10.83,cwd,Mg/ha,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
70,density,trees/ha,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
3.07,fwd,Mg/ha,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
9.6,litterduff,Mg/ha,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
37.6,qmd,cm,1,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
8.67,basal_area,m2/ha,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
10.63,cwd,Mg/ha,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
93.33,density,trees/ha,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
4.7,fwd,Mg/ha,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
20.53,litterduff,Mg/ha,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
34.87,qmd,cm,2,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
8.27,basal_area,m2/ha,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
26.2,cwd,Mg/ha,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
93.33,density,trees/ha,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
4.7,fwd,Mg/ha,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
17.73,litterduff,Mg/ha,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
33.5,qmd,cm,5,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
9.67,basal_area,m2/ha,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
23.6,cwd,Mg/ha,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
96.67,density,trees/ha,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
3.97,fwd,Mg/ha,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
16.77,litterduff,Mg/ha,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
35.77,qmd,cm,10,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
9.6,basal_area,m2/ha,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
20.8,cwd,Mg/ha,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
123.33,density,trees/ha,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
2.7,fwd,Mg/ha,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
12.6,litterduff,Mg/ha,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
31.17,qmd,cm,15,thin_burn,radcliffe3,Ponderosa Pine,washington,mixed,commercial,NA,NA
28.02,basal_area,m2/ha,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
7.68,cwd,Mg/ha,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
447.27,density,trees/ha,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
6.35,fwd,Mg/ha,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
47.73,litterduff,Mg/ha,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
29.23,qmd,cm,-1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
10.58,cwd,Mg/ha,0,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
3.9,fwd,Mg/ha,0,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
29.57,litterduff,Mg/ha,0,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
24.4,basal_area,m2/ha,1,thin_burn,radcliffe3,Mixed Conifer,washington,mixed,commercial,NA,NA
